Reporting Month,Timestamp,What is the name of your school?,What is your school's synthetic school code?,What is the name of your district?,Block Details,Was the PBL project conducted in your school this month?,Was evidence submitted for the completed PBL project?,In which class/classes did you conduct the PBL project?,Which subject do you teach?,"Total number of students enrolled in Class 6, including all sections","Average student attendance during the Class 6 PBL Science session. If you did not teach Science in Class 6, enter 0.","Average student attendance during the Class 6 PBL Math session. If you did not teach Math in Class 6, enter 0.","Total number of students enrolled in Class 7, including all sections","Average student attendance during the Class 7 PBL Science session. If you did not teach Science in Class 7, enter 0.","Average student attendance during the Class 7 PBL Math session. If you did not teach Math in Class 7, enter 0.","Total number of students enrolled in Class 8, including all sections","Average student attendance during the Class 8 PBL Science session. If you did not teach Science in Class 8, enter 0.","Average student attendance during the Class 8 PBL Math session. If you did not teach Math in Class 8, enter 0.",Derived: Total enrollment across Classes 6-8,Derived: Total attendance across PBL Science and Math sessions,Derived: Overall PBL attendance rate,Derived: Risk status
2025-09,2025-09-08 12:07:00,School AAKJ,SYN-270-AAKJ,District A,District A - Block 008,Yes,Yes,"Classes 6, 7 and 8",Science,12,11,11,24,18,16,23,18,19,59,93,0.7881,On Track
2025-09,2025-09-08 12:24:00,School AAKK,SYN-271-AAKK,District A,District A - Block 008,Yes,Yes,"Classes 6, 7 and 8",Math and Science,44,35,25,45,33,28,35,28,24,124,173,0.6976,Behind
2025-09,2025-09-08 12:41:00,School ADJQ,SYN-2279-ADJQ,District B,District B - Block 001,Yes,Yes,"Classes 6, 7 and 8",Math and Science,31,25,27,25,17,17,21,16,16,77,118,0.7662,On Track
2025-09,2025-09-08 12:58:00,School ADJS,SYN-2281-ADJS,District B,District B - Block 001,Yes,Yes,"Classes 6, 7 and 8",Math and Science,64,37,31,99,58,63,111,75,68,274,332,0.6058,Behind
2025-09,2025-09-08 13:15:00,School ADJR,SYN-2280-ADJR,District B,District B - Block 002,Yes,Yes,Class 6,Math and Science,66,41,40,67,47,48,68,53,54,201,283,0.704,Behind
2025-09,2025-09-08 13:32:00,School ADJT,SYN-2282-ADJT,District B,District B - Block 003,Yes,Yes,Class 6,Math and Science,25,19,22,13,8,10,5,4,4,43,67,0.7791,On Track
2025-09,2025-09-08 13:49:00,School ADJU,SYN-2283-ADJU,District B,District B - Block 003,Yes,No,"Classes 6, 7 and 8",Math and Science,120,60,65,96,66,77,92,65,68,308,401,0.651,Behind
2025-09,2025-09-08 14:06:00,School ADJV,SYN-2284-ADJV,District B,District B - Block 003,Yes,Yes,"Classes 6, 7 and 8",Math and Science,29,16,15,21,15,13,24,20,15,74,94,0.6351,Behind
2025-09,2025-09-08 14:23:00,School ADJW,SYN-2285-ADJW,District B,District B - Block 003,Yes,Yes,"Classes 6, 7 and 8",Math and Science,73,53,62,95,60,61,62,42,42,230,320,0.6957,Behind
2025-09,2025-09-08 14:40:00,School ADJX,SYN-2286-ADJX,District B,District B - Block 003,Yes,Yes,"Classes 6, 7 and 8",Science,113,88,65,107,74,70,98,58,56,318,411,0.6462,Behind
2025-09,2025-09-08 14:57:00,School ADJY,SYN-2287-ADJY,District B,District B - Block 004,Yes,Yes,Class 6,Math,25,17,18,19,12,12,12,9,9,56,77,0.6875,Behind
2025-09,2025-09-08 15:14:00,School ADJZ,SYN-2288-ADJZ,District B,District B - Block 004,Yes,Yes,"Classes 6, 7 and 8",Math and Science,81,41,46,73,47,50,72,47,45,226,276,0.6106,Behind
2025-09,2025-09-08 15:31:00,School ADKA,SYN-2289-ADKA,District B,District B - Block 004,Yes,Yes,"Classes 6, 7 and 8",Math,107,56,90,84,49,34,93,40,65,284,334,0.588,At Risk
2025-09,2025-09-08 15:48:00,School ADKB,SYN-2290-ADKB,District B,District B - Block 004,Yes,Yes,"Classes 6, 7 and 8",Science,33,20,24,33,28,25,25,17,19,91,133,0.7308,Behind
2025-09,2025-09-08 16:05:00,School ADKC,SYN-2291-ADKC,District B,District B - Block 004,Yes,Yes,"Classes 6, 7 and 8",Math and Science,24,7,10,35,21,22,30,14,15,89,89,0.5,At Risk
2025-09,2025-09-08 16:22:00,School ADKD,SYN-2292-ADKD,District B,District B - Block 005,Yes,Yes,Class 6,Math and Science,19,16,15,22,18,18,15,11,14,56,92,0.8214,On Track
2025-09,2025-09-08 16:39:00,School ADKE,SYN-2293-ADKE,District B,District B - Block 005,Yes,Yes,"Classes 6, 7 and 8",Math and Science,56,44,42,41,30,30,32,24,23,129,193,0.7481,Behind
2025-09,2025-09-08 16:56:00,School ADKF,SYN-2294-ADKF,District B,District B - Block 005,Yes,Yes,"Classes 6, 7 and 8",Math and Science,105,88,68,51,41,42,71,53,49,227,341,0.7511,On Track
2025-09,2025-09-08 17:13:00,School ADKG,SYN-2295-ADKG,District B,District B - Block 005,Yes,No,"Classes 6, 7 and 8",Math and Science,41,38,31,48,35,32,62,57,55,151,248,0.8212,On Track
2025-09,2025-09-08 17:30:00,School ACYH,SYN-1984-ACYH,District C,District C - Block 001,Yes,Yes,"Classes 6, 7 and 8",Math and Science,20,13,14,15,10,10,23,15,15,58,77,0.6638,Behind
2025-09,2025-09-08 17:47:00,School ACYI,SYN-1985-ACYI,District C,District C - Block 001,Yes,Yes,Class 8,Math,51,50,50,34,23,24,40,34,32,125,213,0.852,On Track
2025-09,2025-09-08 18:04:00,School ACYJ,SYN-1986-ACYJ,District C,District C - Block 001,Yes,No,"Classes 6, 7 and 8",Math and Science,9,8,9,18,16,17,5,5,5,32,60,0.9375,On Track
2025-09,2025-09-08 18:21:00,School ACZC,SYN-2005-ACZC,District C,District C - Block 001,Yes,Yes,"Classes 6, 7 and 8",Math and Science,16,12,12,29,20,23,12,7,7,57,81,0.7105,Behind
2025-09,2025-09-08 18:38:00,School ACZW,SYN-2025-ACZW,District C,District C - Block 002,Yes,Yes,Class 8,Math and Science,61,40,40,65,51,59,103,73,78,229,341,0.7445,Behind
2025-09,2025-09-08 18:55:00,School ACZX,SYN-2026-ACZX,District C,District C - Block 002,Yes,Yes,Class 6,Math and Science,32,20,21,23,13,14,43,27,29,98,124,0.6327,Behind
2025-09,2025-09-08 19:12:00,School ACZY,SYN-2027-ACZY,District C,District C - Block 002,No,No,Not conducted,Not applicable,54,0,0,52,0,0,59,0,0,165,0,0.0,Critical
2025-09,2025-09-08 19:29:00,School ACZZ,SYN-2028-ACZZ,District C,District C - Block 002,Yes,No,Class 6,Science,13,13,13,13,13,11,19,14,15,45,79,0.8778,On Track
2025-09,2025-09-08 19:46:00,School ADAA,SYN-2029-ADAA,District C,District C - Block 002,Yes,No,"Classes 6, 7 and 8",Math and Science,28,19,18,16,13,13,28,21,21,72,105,0.7292,Behind
2025-09,2025-09-08 20:03:00,School ADAB,SYN-2030-ADAB,District C,District C - Block 002,Yes,Yes,Class 8,Math,38,26,32,67,41,47,58,51,39,163,236,0.7239,Behind
2025-09,2025-09-08 20:20:00,School ADAC,SYN-2031-ADAC,District C,District C - Block 002,No,No,Not conducted,Not applicable,7,0,0,7,0,0,6,0,0,20,0,0.0,Critical
2025-09,2025-09-08 20:37:00,School ADAD,SYN-2032-ADAD,District C,District C - Block 002,Yes,No,"Classes 6, 7 and 8",Math and Science,29,26,21,20,15,16,32,23,24,81,125,0.7716,On Track
2025-09,2025-09-08 20:54:00,School ADAE,SYN-2033-ADAE,District C,District C - Block 002,Yes,Yes,"Classes 6, 7 and 8",Math and Science,33,28,30,50,40,40,24,19,22,107,179,0.8364,On Track
2025-09,2025-09-08 21:11:00,School ACZN,SYN-2016-ACZN,District C,District C - Block 003,Yes,Yes,Class 7,Science,60,49,45,36,22,25,35,20,24,131,185,0.7061,Behind
2025-09,2025-09-08 21:28:00,School ACZO,SYN-2017-ACZO,District C,District C - Block 003,Yes,Yes,"Classes 6, 7 and 8",Math and Science,36,35,33,27,19,19,40,31,29,103,166,0.8058,On Track
2025-09,2025-09-08 21:45:00,School ACZP,SYN-2018-ACZP,District C,District C - Block 003,No,No,Not conducted,Not applicable,19,0,0,19,0,0,13,0,0,51,0,0.0,Critical
2025-09,2025-09-08 22:02:00,School ACZQ,SYN-2019-ACZQ,District C,District C - Block 003,Yes,Yes,Class 7,Science,59,39,35,52,42,30,71,44,41,182,231,0.6346,Behind
2025-09,2025-09-08 22:19:00,School ACXX,SYN-1974-ACXX,District C,District C - Block 004,Yes,Yes,Class 7,Math and Science,46,23,32,58,42,37,48,30,23,152,187,0.6151,Behind
2025-09,2025-09-08 22:36:00,School ACXY,SYN-1975-ACXY,District C,District C - Block 004,Yes,Yes,"Classes 6, 7 and 8",Math and Science,24,11,15,20,10,12,26,13,14,70,75,0.5357,At Risk
2025-09,2025-09-08 22:53:00,School ACXZ,SYN-1976-ACXZ,District C,District C - Block 004,Yes,Yes,"Classes 6, 7 and 8",Math and Science,19,1,1,42,2,39,23,1,1,84,45,0.2679,Critical
2025-09,2025-09-08 23:10:00,School ACYA,SYN-1977-ACYA,District C,District C - Block 004,Yes,Yes,"Classes 6, 7 and 8",Math and Science,29,19,26,16,11,13,34,30,28,79,127,0.8038,On Track
2025-09,2025-09-08 23:27:00,School ACYB,SYN-1978-ACYB,District C,District C - Block 004,Yes,Yes,"Classes 6, 7 and 8",Math and Science,11,7,10,6,4,4,6,5,5,23,35,0.7609,On Track
2025-09,2025-09-08 23:44:00,School ACYC,SYN-1979-ACYC,District C,District C - Block 004,Yes,No,"Classes 6, 7 and 8",Math and Science,6,5,5,25,18,21,12,7,8,43,64,0.7442,Behind
2025-09,2025-09-09 00:01:00,School ACYD,SYN-1980-ACYD,District C,District C - Block 004,Yes,Yes,"Classes 6, 7 and 8",Math and Science,18,12,11,13,7,8,22,13,10,53,61,0.5755,At Risk
2025-09,2025-09-09 00:18:00,School ACYE,SYN-1981-ACYE,District C,District C - Block 005,Yes,No,"Classes 6, 7 and 8",Math and Science,71,44,43,73,45,38,28,19,21,172,210,0.6105,Behind
2025-09,2025-09-09 00:35:00,School ACYF,SYN-1982-ACYF,District C,District C - Block 005,No,No,Not conducted,Not applicable,46,0,0,44,0,0,50,0,0,140,0,0.0,Critical
2025-09,2025-09-09 00:52:00,School ACYG,SYN-1983-ACYG,District C,District C - Block 005,Yes,Yes,"Classes 6, 7 and 8",Math and Science,83,52,61,96,76,78,83,48,59,262,374,0.7137,Behind
2025-09,2025-09-09 01:09:00,School ACZG,SYN-2009-ACZG,District C,District C - Block 006,Yes,Yes,"Classes 6, 7 and 8",Math and Science,24,16,13,31,13,16,29,18,14,84,90,0.5357,At Risk
2025-09,2025-09-09 01:26:00,School ACZR,SYN-2020-ACZR,District C,District C - Block 006,Yes,Yes,"Classes 6, 7 and 8",Math and Science,23,19,20,18,16,15,23,20,20,64,110,0.8594,On Track
2025-09,2025-09-09 01:43:00,School ACZH,SYN-2010-ACZH,District C,District C - Block 007,Yes,No,"Classes 6, 7 and 8",Math and Science,27,21,19,23,20,22,15,12,12,65,106,0.8154,On Track
2025-09,2025-09-09 02:00:00,School ACZI,SYN-2011-ACZI,District C,District C - Block 007,No,No,Not conducted,Not applicable,45,0,0,42,0,0,36,0,0,123,0,0.0,Critical
2025-09,2025-09-09 02:17:00,School ACZJ,SYN-2012-ACZJ,District C,District C - Block 007,Yes,Yes,"Classes 6, 7 and 8",Math and Science,23,19,21,25,18,20,27,22,21,75,121,0.8067,On Track
2025-09,2025-09-09 02:34:00,School ACZK,SYN-2013-ACZK,District C,District C - Block 007,Yes,Yes,Classes 7 and 8,Math and Science,13,12,12,15,14,15,25,22,22,53,97,0.9151,On Track
2025-09,2025-09-09 02:51:00,School ACZL,SYN-2014-ACZL,District C,District C - Block 007,Yes,Yes,"Classes 6, 7 and 8",Math and Science,91,63,63,90,75,67,106,76,80,287,424,0.7387,Behind
2025-09,2025-09-09 03:08:00,School ACZM,SYN-2015-ACZM,District C,District C - Block 007,Yes,Yes,Class 6,Math and Science,36,27,11,21,16,21,28,27,23,85,125,0.7353,Behind
2025-09,2025-09-09 03:25:00,School ACZS,SYN-2021-ACZS,District C,District C - Block 008,No,No,Not conducted,Not applicable,21,0,0,17,0,0,12,0,0,50,0,0.0,Critical
2025-09,2025-09-09 03:42:00,School ACZT,SYN-2022-ACZT,District C,District C - Block 008,Yes,Yes,Class 6,Math and Science,15,14,12,18,13,16,16,15,12,49,82,0.8367,On Track
2025-09,2025-09-09 03:59:00,School ACZU,SYN-2023-ACZU,District C,District C - Block 008,Yes,Yes,"Classes 6, 7 and 8",Math and Science,59,41,47,51,33,36,32,26,24,142,207,0.7289,Behind
2025-09,2025-09-09 04:16:00,School ACZV,SYN-2024-ACZV,District C,District C - Block 008,Yes,Yes,Class 8,Math,97,48,52,78,46,36,84,42,57,259,281,0.5425,At Risk
2025-09,2025-09-09 04:33:00,School ACYS,SYN-1995-ACYS,District C,District C - Block 009,Yes,No,"Classes 6, 7 and 8",Math and Science,11,9,8,15,11,13,10,9,9,36,59,0.8194,On Track
2025-09,2025-09-09 04:50:00,School ACYT,SYN-1996-ACYT,District C,District C - Block 009,Yes,No,Class 6,Math,47,32,30,55,38,40,46,36,31,148,207,0.6993,Behind
2025-09,2025-09-09 05:07:00,School ACYU,SYN-1997-ACYU,District C,District C - Block 009,Yes,Yes,Class 6,Math and Science,15,9,10,19,13,12,20,13,17,54,74,0.6852,Behind
2025-09,2025-09-09 05:24:00,School ACYV,SYN-1998-ACYV,District C,District C - Block 009,Yes,No,Class 6,Science,31,24,29,36,35,31,44,37,37,111,193,0.8694,On Track
2025-09,2025-09-09 05:41:00,School ACYW,SYN-1999-ACYW,District C,District C - Block 009,Yes,No,"Classes 6, 7 and 8",Math and Science,5,4,5,6,5,6,7,6,6,18,32,0.8889,On Track
2025-09,2025-09-09 05:58:00,School ACYX,SYN-2000-ACYX,District C,District C - Block 009,Yes,Yes,Class 6,Math and Science,82,54,62,76,59,61,67,55,58,225,349,0.7756,On Track
2025-09,2025-09-09 06:15:00,School ACYY,SYN-2001-ACYY,District C,District C - Block 009,Yes,Yes,"Classes 6, 7 and 8",Math and Science,19,14,16,11,8,7,13,9,9,43,63,0.7326,Behind
2025-09,2025-09-09 06:32:00,School ACYZ,SYN-2002-ACYZ,District C,District C - Block 009,Yes,No,Class 6,Math and Science,33,26,22,42,32,31,36,28,32,111,171,0.7703,On Track
2025-09,2025-09-09 06:49:00,School ACZA,SYN-2003-ACZA,District C,District C - Block 009,Yes,Yes,Class 6,Math,34,24,20,13,9,7,18,13,12,65,85,0.6538,Behind
2025-09,2025-09-09 07:06:00,School ACZB,SYN-2004-ACZB,District C,District C - Block 009,No,No,Not conducted,Not applicable,36,0,0,31,0,0,38,0,0,105,0,0.0,Critical
2025-09,2025-09-09 07:23:00,School ACZD,SYN-2006-ACZD,District C,District C - Block 009,Yes,Yes,Class 6,Science,18,13,15,25,19,21,22,22,21,65,111,0.8538,On Track
2025-09,2025-09-09 07:40:00,School ACZE,SYN-2007-ACZE,District C,District C - Block 009,Yes,No,"Classes 6, 7 and 8",Math and Science,83,60,57,97,65,70,116,77,86,296,415,0.701,Behind
2025-09,2025-09-09 07:57:00,School ACZF,SYN-2008-ACZF,District C,District C - Block 009,Yes,Yes,"Classes 6, 7 and 8",Math and Science,5,5,5,6,5,4,8,8,8,19,35,0.9211,On Track
2025-09,2025-09-09 08:14:00,School ACYO,SYN-1991-ACYO,District C,District C - Block 010,Yes,Yes,"Classes 6, 7 and 8",Math and Science,80,55,54,96,62,65,54,33,36,230,305,0.663,Behind
2025-09,2025-09-09 08:31:00,School ACYP,SYN-1992-ACYP,District C,District C - Block 010,Yes,Yes,"Classes 6, 7 and 8",Science,23,23,20,70,47,38,45,31,24,138,183,0.663,Behind
2025-09,2025-09-09 08:48:00,School ACYQ,SYN-1993-ACYQ,District C,District C - Block 010,Yes,No,Class 6,Math and Science,36,30,23,60,42,29,38,28,19,134,171,0.6381,Behind
2025-09,2025-09-09 09:05:00,School ACYR,SYN-1994-ACYR,District C,District C - Block 010,Yes,Yes,"Classes 6, 7 and 8",Math and Science,20,15,15,19,12,14,20,15,16,59,87,0.7373,Behind
2025-09,2025-09-09 09:22:00,School ACYK,SYN-1987-ACYK,District C,District C - Block 011,Yes,Yes,"Classes 6, 7 and 8",Math and Science,31,23,22,23,17,18,19,14,17,73,111,0.7603,On Track
2025-09,2025-09-09 09:39:00,School ACYL,SYN-1988-ACYL,District C,District C - Block 011,Yes,Yes,"Classes 6, 7 and 8",Math and Science,29,24,23,30,27,23,44,38,42,103,177,0.8592,On Track
2025-09,2025-09-09 09:56:00,School ACYM,SYN-1989-ACYM,District C,District C - Block 011,Yes,Yes,Class 8,Math and Science,23,17,18,35,29,31,35,27,26,93,148,0.7957,On Track
2025-09,2025-09-09 10:13:00,School ACYN,SYN-1990-ACYN,District C,District C - Block 011,Yes,Yes,"Classes 6, 7 and 8",Math and Science,7,5,5,11,7,6,6,6,5,24,34,0.7083,Behind
2025-09,2025-09-09 10:30:00,School ABXU,SYN-1295-ABXU,District D,District D - Block 001,Yes,Yes,Class 6,Math and Science,76,54,44,68,48,44,61,47,41,205,278,0.678,Behind
2025-09,2025-09-09 10:47:00,School ABXV,SYN-1296-ABXV,District D,District D - Block 001,Yes,No,"Classes 6, 7 and 8",Math and Science,128,88,83,138,77,67,112,64,65,378,444,0.5873,At Risk
2025-09,2025-09-09 11:04:00,School ABXW,SYN-1297-ABXW,District D,District D - Block 001,Yes,Yes,Class 7,Math,74,40,43,49,36,34,58,37,42,181,232,0.6409,Behind
2025-09,2025-09-09 11:21:00,School ABXX,SYN-1298-ABXX,District D,District D - Block 001,Yes,No,Class 8,Science,85,71,69,62,47,43,98,53,61,245,344,0.702,Behind
2025-09,2025-09-09 11:38:00,School ABXY,SYN-1299-ABXY,District D,District D - Block 001,Yes,Yes,"Classes 6, 7 and 8",Math,42,27,30,40,24,34,48,25,35,130,175,0.6731,Behind
2025-09,2025-09-09 11:55:00,School ABXZ,SYN-1300-ABXZ,District D,District D - Block 001,Yes,No,"Classes 6, 7 and 8",Math and Science,90,70,69,84,73,76,85,65,71,259,424,0.8185,On Track
2025-09,2025-09-09 12:12:00,School ABYA,SYN-1301-ABYA,District D,District D - Block 001,Yes,Yes,"Classes 6, 7 and 8",Math and Science,59,58,55,38,36,34,39,38,38,136,259,0.9522,On Track
2025-09,2025-09-09 12:29:00,School ABYB,SYN-1302-ABYB,District D,District D - Block 001,Yes,Yes,"Classes 6, 7 and 8",Math and Science,39,22,26,71,44,45,42,26,24,152,187,0.6151,Behind
2025-09,2025-09-09 12:46:00,School ABYC,SYN-1303-ABYC,District D,District D - Block 001,Yes,Yes,"Classes 6, 7 and 8",Math and Science,56,44,45,60,44,51,71,50,52,187,286,0.7647,On Track
2025-09,2025-09-09 13:03:00,School ABWU,SYN-1269-ABWU,District D,District D - Block 002,Yes,Yes,"Classes 6, 7 and 8",Math and Science,45,28,33,36,24,22,31,26,27,112,160,0.7143,Behind
2025-09,2025-09-09 13:20:00,School ABYJ,SYN-1310-ABYJ,District D,District D - Block 002,Yes,Yes,Class 6,Science,108,85,80,94,73,67,85,65,69,287,439,0.7648,On Track
2025-09,2025-09-09 13:37:00,School ABYK,SYN-1311-ABYK,District D,District D - Block 002,Yes,No,Class 6,Math and Science,40,33,29,35,27,25,35,32,32,110,178,0.8091,On Track
2025-09,2025-09-09 13:54:00,School ABYL,SYN-1312-ABYL,District D,District D - Block 002,Yes,Yes,"Classes 6, 7 and 8",Math and Science,55,43,42,63,46,51,44,32,33,162,247,0.7623,On Track
2025-09,2025-09-09 14:11:00,School ABYM,SYN-1313-ABYM,District D,District D - Block 002,Yes,No,"Classes 6, 7 and 8",Math and Science,35,23,18,47,32,30,48,27,34,130,164,0.6308,Behind
2025-09,2025-09-09 14:28:00,School ABYN,SYN-1314-ABYN,District D,District D - Block 002,Yes,Yes,"Classes 6, 7 and 8",Science,30,19,21,28,18,19,25,17,16,83,110,0.6627,Behind
2025-09,2025-09-09 14:45:00,School ABYO,SYN-1315-ABYO,District D,District D - Block 002,Yes,Yes,"Classes 6, 7 and 8",Math and Science,46,39,32,64,40,37,55,32,34,165,214,0.6485,Behind
2025-09,2025-09-09 15:02:00,School ABYP,SYN-1316-ABYP,District D,District D - Block 002,Yes,Yes,Class 6,Science,64,32,33,79,39,43,52,29,23,195,199,0.5103,At Risk
2025-09,2025-09-09 15:19:00,School ABYQ,SYN-1317-ABYQ,District D,District D - Block 002,Yes,Yes,"Classes 6, 7 and 8",Math and Science,105,72,56,93,60,56,70,45,40,268,329,0.6138,Behind
2025-09,2025-09-09 15:36:00,School ABXM,SYN-1287-ABXM,District D,District D - Block 003,Yes,Yes,Class 6,Math and Science,29,13,15,35,27,19,35,27,24,99,125,0.6313,Behind
2025-09,2025-09-09 15:53:00,School ABXN,SYN-1288-ABXN,District D,District D - Block 003,Yes,No,Classes 7 and 8,Math and Science,12,8,8,21,13,14,16,12,14,49,69,0.7041,Behind
2025-09,2025-09-09 16:10:00,School ABXO,SYN-1289-ABXO,District D,District D - Block 003,Yes,Yes,Class 6,Math and Science,19,19,7,30,14,15,8,7,5,57,67,0.5877,At Risk
2025-09,2025-09-09 16:27:00,School ABXP,SYN-1290-ABXP,District D,District D - Block 003,Yes,No,Class 6,Math and Science,41,37,35,39,24,25,27,22,26,107,169,0.7897,On Track
2025-09,2025-09-09 16:44:00,School ABYR,SYN-1318-ABYR,District D,District D - Block 004,Yes,Yes,"Classes 6, 7 and 8",Math and Science,22,16,19,21,20,18,18,18,18,61,109,0.8934,On Track
2025-09,2025-09-09 17:01:00,School ABYS,SYN-1319-ABYS,District D,District D - Block 004,Yes,Yes,"Classes 6, 7 and 8",Math and Science,33,21,18,55,34,34,18,10,9,106,126,0.5943,At Risk
2025-09,2025-09-09 17:18:00,School ABWV,SYN-1270-ABWV,District D,District D - Block 005,Yes,Yes,"Classes 6, 7 and 8",Math and Science,42,23,25,35,20,22,35,22,18,112,130,0.5804,At Risk
2025-09,2025-09-09 17:35:00,School ABWW,SYN-1271-ABWW,District D,District D - Block 005,Yes,No,Class 6,Math,26,14,16,22,12,14,17,11,12,65,79,0.6077,Behind
2025-09,2025-09-09 17:52:00,School ABWX,SYN-1272-ABWX,District D,District D - Block 006,Yes,Yes,Class 6,Science,17,13,14,18,12,13,22,15,16,57,83,0.7281,Behind
2025-09,2025-09-09 18:09:00,School ABWZ,SYN-1274-ABWZ,District D,District D - Block 006,Yes,Yes,"Classes 6, 7 and 8",Math and Science,58,41,34,57,34,33,44,28,33,159,203,0.6384,Behind
2025-09,2025-09-09 18:26:00,School ABXA,SYN-1275-ABXA,District D,District D - Block 006,Yes,Yes,"Classes 6, 7 and 8",Math and Science,38,29,33,63,59,49,43,40,38,144,248,0.8611,On Track
2025-09,2025-09-09 18:43:00,School ABXB,SYN-1276-ABXB,District D,District D - Block 006,Yes,Yes,Class 7,Math and Science,37,31,29,43,27,32,38,29,26,118,174,0.7373,Behind
2025-09,2025-09-09 19:00:00,School ABXC,SYN-1277-ABXC,District D,District D - Block 006,Yes,Yes,Class 6,Science,15,12,7,18,12,13,6,5,4,39,53,0.6795,Behind
2025-09,2025-09-09 19:17:00,School ABXD,SYN-1278-ABXD,District D,District D - Block 007,Yes,No,"Classes 6, 7 and 8",Math and Science,63,49,47,53,34,31,35,19,23,151,203,0.6722,Behind
2025-09,2025-09-09 19:34:00,School ABXE,SYN-1279-ABXE,District D,District D - Block 007,Yes,No,Classes 6 and 8,Math and Science,83,70,65,34,33,33,39,32,33,156,266,0.8526,On Track
2025-09,2025-09-09 19:51:00,School ABXF,SYN-1280-ABXF,District D,District D - Block 007,Yes,Yes,"Classes 6, 7 and 8",Math and Science,15,11,10,11,8,8,12,8,9,38,54,0.7105,Behind
2025-09,2025-09-09 20:08:00,School ABXG,SYN-1281-ABXG,District D,District D - Block 007,Yes,No,"Classes 6, 7 and 8",Math and Science,70,40,38,64,40,44,50,28,30,184,220,0.5978,At Risk
2025-09,2025-09-09 20:25:00,School ABXH,SYN-1282-ABXH,District D,District D - Block 007,Yes,Yes,"Classes 6, 7 and 8",Science,52,51,47,62,61,61,67,66,59,181,345,0.953,On Track
2025-09,2025-09-09 20:42:00,School ABXI,SYN-1283-ABXI,District D,District D - Block 007,Yes,Yes,Class 7,Science,28,22,21,22,16,15,13,13,12,63,99,0.7857,On Track
2025-09,2025-09-09 20:59:00,School ABXJ,SYN-1284-ABXJ,District D,District D - Block 007,Yes,Yes,"Classes 6, 7 and 8",Math and Science,30,23,22,29,20,26,27,24,22,86,137,0.7965,On Track
2025-09,2025-09-09 21:16:00,School ABXK,SYN-1285-ABXK,District D,District D - Block 007,Yes,Yes,"Classes 6, 7 and 8",Math and Science,37,19,18,64,23,23,22,13,12,123,108,0.439,At Risk
