Reporting Month,Timestamp,What is the name of your school?,What is your school's synthetic school code?,What is the name of your district?,Block Details,Was the PBL project conducted in your school this month?,Was evidence submitted for the completed PBL project?,In which class/classes did you conduct the PBL project?,Which subject do you teach?,"Total number of students enrolled in Class 6, including all sections","Average student attendance during the Class 6 PBL Science session. If you did not teach Science in Class 6, enter 0.","Average student attendance during the Class 6 PBL Math session. If you did not teach Math in Class 6, enter 0.","Total number of students enrolled in Class 7, including all sections","Average student attendance during the Class 7 PBL Science session. If you did not teach Science in Class 7, enter 0.","Average student attendance during the Class 7 PBL Math session. If you did not teach Math in Class 7, enter 0.","Total number of students enrolled in Class 8, including all sections","Average student attendance during the Class 8 PBL Science session. If you did not teach Science in Class 8, enter 0.","Average student attendance during the Class 8 PBL Math session. If you did not teach Math in Class 8, enter 0.",Derived: Total enrollment across Classes 6-8,Derived: Total attendance across PBL Science and Math sessions,Derived: Overall PBL attendance rate,Derived: Risk status
2025-08,2025-08-08 12:41:00,School ADJQ,SYN-2279-ADJQ,District B,District B - Block 001,No,No,Not conducted,Not applicable,31,0,0,25,0,0,21,0,0,77,0,0.0,Critical
2025-08,2025-08-08 12:58:00,School ADJS,SYN-2281-ADJS,District B,District B - Block 001,Yes,No,"Classes 6, 7 and 8",Math and Science,64,33,31,99,61,59,111,64,70,274,318,0.5803,At Risk
2025-08,2025-08-08 13:15:00,School ADJR,SYN-2280-ADJR,District B,District B - Block 002,Yes,Yes,Class 6,Math and Science,66,42,42,67,46,47,68,61,59,201,297,0.7388,Behind
2025-08,2025-08-08 13:32:00,School ADJT,SYN-2282-ADJT,District B,District B - Block 003,Yes,No,Class 6,Math and Science,25,17,21,13,7,8,5,4,4,43,61,0.7093,Behind
2025-08,2025-08-08 13:49:00,School ADJU,SYN-2283-ADJU,District B,District B - Block 003,Yes,No,"Classes 6, 7 and 8",Math and Science,120,70,54,96,70,62,92,63,57,308,376,0.6104,Behind
2025-08,2025-08-08 14:06:00,School ADJV,SYN-2284-ADJV,District B,District B - Block 003,Yes,Yes,"Classes 6, 7 and 8",Math and Science,29,14,13,21,14,14,24,20,16,74,91,0.6149,Behind
2025-08,2025-08-08 14:23:00,School ADJW,SYN-2285-ADJW,District B,District B - Block 003,No,No,Not conducted,Not applicable,73,0,0,95,0,0,62,0,0,230,0,0.0,Critical
2025-08,2025-08-08 14:40:00,School ADJX,SYN-2286-ADJX,District B,District B - Block 003,Yes,Yes,"Classes 6, 7 and 8",Science,113,85,48,107,61,50,98,67,63,318,374,0.5881,At Risk
2025-08,2025-08-08 14:57:00,School ADJY,SYN-2287-ADJY,District B,District B - Block 004,Yes,Yes,Class 6,Math,25,16,13,19,13,10,12,8,7,56,67,0.5982,At Risk
2025-08,2025-08-08 15:14:00,School ADJZ,SYN-2288-ADJZ,District B,District B - Block 004,No,No,Not conducted,Not applicable,81,0,0,73,0,0,72,0,0,226,0,0.0,Critical
2025-08,2025-08-08 15:31:00,School ADKA,SYN-2289-ADKA,District B,District B - Block 004,No,No,Not conducted,Not applicable,107,0,0,84,0,0,93,0,0,284,0,0.0,Critical
2025-08,2025-08-08 15:48:00,School ADKB,SYN-2290-ADKB,District B,District B - Block 004,Yes,Yes,"Classes 6, 7 and 8",Science,33,19,21,33,27,24,25,17,19,91,127,0.6978,Behind
2025-08,2025-08-08 16:05:00,School ADKC,SYN-2291-ADKC,District B,District B - Block 004,Yes,No,"Classes 6, 7 and 8",Math and Science,24,8,9,35,19,20,30,14,13,89,83,0.4663,At Risk
2025-08,2025-08-08 16:22:00,School ADKD,SYN-2292-ADKD,District B,District B - Block 005,Yes,Yes,Class 6,Math and Science,19,16,16,22,17,15,15,12,13,56,89,0.7946,On Track
2025-08,2025-08-08 16:39:00,School ADKE,SYN-2293-ADKE,District B,District B - Block 005,No,No,Not conducted,Not applicable,56,0,0,41,0,0,32,0,0,129,0,0.0,Critical
2025-08,2025-08-08 16:56:00,School ADKF,SYN-2294-ADKF,District B,District B - Block 005,Yes,Yes,"Classes 6, 7 and 8",Math and Science,105,71,71,51,40,40,71,57,47,227,326,0.7181,Behind
2025-08,2025-08-08 17:13:00,School ADKG,SYN-2295-ADKG,District B,District B - Block 005,Yes,No,"Classes 6, 7 and 8",Math and Science,41,30,32,48,31,36,62,51,45,151,225,0.745,Behind
2025-08,2025-08-08 17:30:00,School ACYH,SYN-1984-ACYH,District C,District C - Block 001,Yes,Yes,"Classes 6, 7 and 8",Math and Science,20,14,14,15,10,9,23,15,16,58,78,0.6724,Behind
2025-08,2025-08-08 17:47:00,School ACYI,SYN-1985-ACYI,District C,District C - Block 001,Yes,Yes,Class 8,Math,51,50,50,34,23,21,40,31,27,125,202,0.808,On Track
2025-08,2025-08-08 18:04:00,School ACYJ,SYN-1986-ACYJ,District C,District C - Block 001,Yes,Yes,"Classes 6, 7 and 8",Math and Science,9,9,8,18,16,16,5,5,5,32,59,0.9219,On Track
2025-08,2025-08-08 18:21:00,School ACZC,SYN-2005-ACZC,District C,District C - Block 001,Yes,Yes,"Classes 6, 7 and 8",Math and Science,16,13,12,29,20,23,12,8,7,57,83,0.7281,Behind
2025-08,2025-08-08 18:38:00,School ACZW,SYN-2025-ACZW,District C,District C - Block 002,Yes,No,Class 8,Math and Science,61,39,42,65,59,59,103,69,70,229,338,0.738,Behind
2025-08,2025-08-08 18:55:00,School ACZX,SYN-2026-ACZX,District C,District C - Block 002,Yes,Yes,Class 6,Math and Science,32,21,19,23,16,14,43,30,27,98,127,0.648,Behind
2025-08,2025-08-08 19:12:00,School ACZY,SYN-2027-ACZY,District C,District C - Block 002,Yes,No,"Classes 6, 7 and 8",Math,54,46,5,52,44,43,59,52,58,165,248,0.7515,On Track
2025-08,2025-08-08 19:29:00,School ACZZ,SYN-2028-ACZZ,District C,District C - Block 002,Yes,Yes,Class 6,Science,13,11,12,13,12,13,19,15,15,45,78,0.8667,On Track
2025-08,2025-08-08 19:46:00,School ADAA,SYN-2029-ADAA,District C,District C - Block 002,Yes,No,"Classes 6, 7 and 8",Math and Science,28,17,16,16,13,14,28,20,17,72,97,0.6736,Behind
2025-08,2025-08-08 20:03:00,School ADAB,SYN-2030-ADAB,District C,District C - Block 002,Yes,No,Class 8,Math,38,19,28,67,46,43,58,41,36,163,213,0.6534,Behind
2025-08,2025-08-08 20:20:00,School ADAC,SYN-2031-ADAC,District C,District C - Block 002,Yes,No,Class 6,Math and Science,7,7,6,7,7,7,6,5,5,20,37,0.925,On Track
2025-08,2025-08-08 20:37:00,School ADAD,SYN-2032-ADAD,District C,District C - Block 002,Yes,No,"Classes 6, 7 and 8",Math and Science,29,24,21,20,14,16,32,22,23,81,120,0.7407,Behind
2025-08,2025-08-08 20:54:00,School ADAE,SYN-2033-ADAE,District C,District C - Block 002,No,No,Not conducted,Not applicable,33,0,0,50,0,0,24,0,0,107,0,0.0,Critical
2025-08,2025-08-08 21:11:00,School ACZN,SYN-2016-ACZN,District C,District C - Block 003,Yes,No,Class 7,Science,60,41,46,36,26,21,35,23,25,131,182,0.6947,Behind
2025-08,2025-08-08 21:28:00,School ACZO,SYN-2017-ACZO,District C,District C - Block 003,Yes,Yes,"Classes 6, 7 and 8",Math and Science,36,29,28,27,19,18,40,31,29,103,154,0.7476,Behind
2025-08,2025-08-08 21:45:00,School ACZP,SYN-2018-ACZP,District C,District C - Block 003,Yes,Yes,"Classes 6, 7 and 8",Math and Science,19,11,12,19,10,12,13,9,13,51,67,0.6569,Behind
2025-08,2025-08-08 22:02:00,School ACZQ,SYN-2019-ACZQ,District C,District C - Block 003,Yes,Yes,Class 7,Science,59,37,37,52,35,24,71,53,30,182,216,0.5934,At Risk
2025-08,2025-08-08 22:19:00,School ACXX,SYN-1974-ACXX,District C,District C - Block 004,Yes,Yes,Class 7,Math and Science,46,25,34,58,36,36,48,28,27,152,186,0.6118,Behind
2025-08,2025-08-08 22:36:00,School ACXY,SYN-1975-ACXY,District C,District C - Block 004,Yes,Yes,"Classes 6, 7 and 8",Math and Science,24,14,16,20,13,14,26,12,18,70,87,0.6214,Behind
2025-08,2025-08-08 22:53:00,School ACXZ,SYN-1976-ACXZ,District C,District C - Block 004,Yes,Yes,"Classes 6, 7 and 8",Math and Science,19,1,1,42,2,41,23,1,1,84,47,0.2798,Critical
2025-08,2025-08-08 23:10:00,School ACYA,SYN-1977-ACYA,District C,District C - Block 004,Yes,Yes,"Classes 6, 7 and 8",Math and Science,29,18,22,16,12,12,34,26,25,79,115,0.7278,Behind
2025-08,2025-08-08 23:27:00,School ACYB,SYN-1978-ACYB,District C,District C - Block 004,Yes,No,"Classes 6, 7 and 8",Math and Science,11,7,11,6,3,3,6,4,5,23,33,0.7174,Behind
2025-08,2025-08-08 23:44:00,School ACYC,SYN-1979-ACYC,District C,District C - Block 004,No,No,Not conducted,Not applicable,6,0,0,25,0,0,12,0,0,43,0,0.0,Critical
2025-08,2025-08-09 00:01:00,School ACYD,SYN-1980-ACYD,District C,District C - Block 004,Yes,No,"Classes 6, 7 and 8",Math and Science,18,10,10,13,8,7,22,10,11,53,56,0.5283,At Risk
2025-08,2025-08-09 00:18:00,School ACYE,SYN-1981-ACYE,District C,District C - Block 005,Yes,Yes,"Classes 6, 7 and 8",Math and Science,71,35,41,73,43,43,28,21,20,172,203,0.5901,At Risk
2025-08,2025-08-09 00:35:00,School ACYF,SYN-1982-ACYF,District C,District C - Block 005,Yes,Yes,"Classes 6, 7 and 8",Math and Science,46,37,33,44,19,17,50,20,19,140,145,0.5179,At Risk
2025-08,2025-08-09 00:52:00,School ACYG,SYN-1983-ACYG,District C,District C - Block 005,No,No,Not conducted,Not applicable,83,0,0,96,0,0,83,0,0,262,0,0.0,Critical
2025-08,2025-08-09 01:09:00,School ACZG,SYN-2009-ACZG,District C,District C - Block 006,Yes,No,"Classes 6, 7 and 8",Math and Science,24,16,11,31,12,13,29,18,13,84,83,0.494,At Risk
2025-08,2025-08-09 01:26:00,School ACZR,SYN-2020-ACZR,District C,District C - Block 006,Yes,No,"Classes 6, 7 and 8",Math and Science,23,19,19,18,15,14,23,19,22,64,108,0.8438,On Track
2025-08,2025-08-09 01:43:00,School ACZH,SYN-2010-ACZH,District C,District C - Block 007,Yes,Yes,"Classes 6, 7 and 8",Math and Science,27,20,22,23,23,21,15,10,13,65,109,0.8385,On Track
2025-08,2025-08-09 02:00:00,School ACZI,SYN-2011-ACZI,District C,District C - Block 007,Yes,Yes,"Classes 6, 7 and 8",Math and Science,45,29,26,42,28,26,36,29,26,123,164,0.6667,Behind
2025-08,2025-08-09 02:17:00,School ACZJ,SYN-2012-ACZJ,District C,District C - Block 007,Yes,Yes,"Classes 6, 7 and 8",Math and Science,23,16,23,25,18,18,27,19,22,75,116,0.7733,On Track
2025-08,2025-08-09 02:34:00,School ACZK,SYN-2013-ACZK,District C,District C - Block 007,Yes,No,Classes 7 and 8,Math and Science,13,12,12,15,13,14,25,23,22,53,96,0.9057,On Track
2025-08,2025-08-09 02:51:00,School ACZL,SYN-2014-ACZL,District C,District C - Block 007,Yes,No,"Classes 6, 7 and 8",Math and Science,91,64,57,90,74,62,106,79,77,287,413,0.7195,Behind
2025-08,2025-08-09 03:08:00,School ACZM,SYN-2015-ACZM,District C,District C - Block 007,Yes,Yes,Class 6,Math and Science,36,24,11,21,13,21,28,24,24,85,117,0.6882,Behind
2025-08,2025-08-09 03:25:00,School ACZS,SYN-2021-ACZS,District C,District C - Block 008,Yes,Yes,"Classes 6, 7 and 8",Math and Science,21,16,16,17,15,13,12,11,12,50,83,0.83,On Track
2025-08,2025-08-09 03:42:00,School ACZT,SYN-2022-ACZT,District C,District C - Block 008,Yes,No,Class 6,Math and Science,15,11,12,18,13,15,16,14,12,49,77,0.7857,On Track
2025-08,2025-08-09 03:59:00,School ACZU,SYN-2023-ACZU,District C,District C - Block 008,Yes,Yes,"Classes 6, 7 and 8",Math and Science,59,45,45,51,37,38,32,26,26,142,217,0.7641,On Track
2025-08,2025-08-09 04:16:00,School ACZV,SYN-2024-ACZV,District C,District C - Block 008,Yes,Yes,Class 8,Math,97,55,53,78,47,36,84,56,63,259,310,0.5985,At Risk
2025-08,2025-08-09 04:33:00,School ACYS,SYN-1995-ACYS,District C,District C - Block 009,Yes,Yes,"Classes 6, 7 and 8",Math and Science,11,9,8,15,11,11,10,8,9,36,56,0.7778,On Track
2025-08,2025-08-09 04:50:00,School ACYT,SYN-1996-ACYT,District C,District C - Block 009,Yes,Yes,Class 6,Math,47,29,29,55,43,42,46,31,31,148,205,0.6926,Behind
2025-08,2025-08-09 05:07:00,School ACYU,SYN-1997-ACYU,District C,District C - Block 009,Yes,Yes,Class 6,Math and Science,15,8,10,19,9,11,20,12,16,54,66,0.6111,Behind
2025-08,2025-08-09 05:24:00,School ACYV,SYN-1998-ACYV,District C,District C - Block 009,Yes,Yes,Class 6,Science,31,25,24,36,33,32,44,37,37,111,188,0.8468,On Track
2025-08,2025-08-09 05:41:00,School ACYW,SYN-1999-ACYW,District C,District C - Block 009,Yes,Yes,"Classes 6, 7 and 8",Math and Science,5,4,5,6,4,5,7,5,7,18,30,0.8333,On Track
2025-08,2025-08-09 05:58:00,School ACYX,SYN-2000-ACYX,District C,District C - Block 009,Yes,Yes,Class 6,Math and Science,82,56,55,76,52,52,67,48,64,225,327,0.7267,Behind
2025-08,2025-08-09 06:15:00,School ACYY,SYN-2001-ACYY,District C,District C - Block 009,Yes,No,"Classes 6, 7 and 8",Math and Science,19,15,17,11,7,7,13,10,10,43,66,0.7674,On Track
2025-08,2025-08-09 06:32:00,School ACYZ,SYN-2002-ACYZ,District C,District C - Block 009,Yes,Yes,Class 6,Math and Science,33,21,24,42,28,31,36,27,30,111,161,0.7252,Behind
2025-08,2025-08-09 06:49:00,School ACZA,SYN-2003-ACZA,District C,District C - Block 009,Yes,Yes,Class 6,Math,34,22,16,13,9,7,18,12,11,65,77,0.5923,At Risk
2025-08,2025-08-09 07:06:00,School ACZB,SYN-2004-ACZB,District C,District C - Block 009,Yes,Yes,Class 6,Math and Science,36,29,29,31,28,30,38,31,32,105,179,0.8524,On Track
2025-08,2025-08-09 07:23:00,School ACZD,SYN-2006-ACZD,District C,District C - Block 009,Yes,No,Class 6,Science,18,12,13,25,19,20,22,19,20,65,103,0.7923,On Track
2025-08,2025-08-09 07:40:00,School ACZE,SYN-2007-ACZE,District C,District C - Block 009,No,No,Not conducted,Not applicable,83,0,0,97,0,0,116,0,0,296,0,0.0,Critical
2025-08,2025-08-09 07:57:00,School ACZF,SYN-2008-ACZF,District C,District C - Block 009,Yes,Yes,"Classes 6, 7 and 8",Math and Science,5,5,5,6,5,5,8,7,8,19,35,0.9211,On Track
2025-08,2025-08-09 08:14:00,School ACYO,SYN-1991-ACYO,District C,District C - Block 010,Yes,No,"Classes 6, 7 and 8",Math and Science,80,55,53,96,63,54,54,36,35,230,296,0.6435,Behind
2025-08,2025-08-09 08:31:00,School ACYP,SYN-1992-ACYP,District C,District C - Block 010,Yes,No,"Classes 6, 7 and 8",Science,23,22,19,70,42,33,45,31,22,138,169,0.6123,Behind
2025-08,2025-08-09 08:48:00,School ACYQ,SYN-1993-ACYQ,District C,District C - Block 010,Yes,Yes,Class 6,Math and Science,36,27,16,60,44,31,38,28,17,134,163,0.6082,Behind
2025-08,2025-08-09 09:05:00,School ACYR,SYN-1994-ACYR,District C,District C - Block 010,Yes,Yes,"Classes 6, 7 and 8",Math and Science,20,14,15,19,12,14,20,16,15,59,86,0.7288,Behind
2025-08,2025-08-09 09:22:00,School ACYK,SYN-1987-ACYK,District C,District C - Block 011,Yes,Yes,"Classes 6, 7 and 8",Math and Science,31,25,21,23,15,20,19,16,16,73,113,0.774,On Track
2025-08,2025-08-09 09:39:00,School ACYL,SYN-1988-ACYL,District C,District C - Block 011,Yes,No,"Classes 6, 7 and 8",Math and Science,29,22,24,30,25,24,44,37,36,103,168,0.8155,On Track
2025-08,2025-08-09 09:56:00,School ACYM,SYN-1989-ACYM,District C,District C - Block 011,Yes,Yes,Class 8,Math and Science,23,17,17,35,27,28,35,27,27,93,143,0.7688,On Track
2025-08,2025-08-09 10:13:00,School ACYN,SYN-1990-ACYN,District C,District C - Block 011,Yes,No,"Classes 6, 7 and 8",Math and Science,7,5,4,11,6,7,6,6,6,24,34,0.7083,Behind
2025-08,2025-08-09 10:30:00,School ABXU,SYN-1295-ABXU,District D,District D - Block 001,Yes,Yes,Class 6,Math and Science,76,44,43,68,39,39,61,47,46,205,258,0.6293,Behind
2025-08,2025-08-09 10:47:00,School ABXV,SYN-1296-ABXV,District D,District D - Block 001,Yes,Yes,"Classes 6, 7 and 8",Math and Science,128,84,69,138,59,72,112,56,53,378,393,0.5198,At Risk
2025-08,2025-08-09 11:04:00,School ABXW,SYN-1297-ABXW,District D,District D - Block 001,Yes,No,Class 7,Math,74,38,41,49,32,28,58,35,33,181,207,0.5718,At Risk
2025-08,2025-08-09 11:21:00,School ABXX,SYN-1298-ABXX,District D,District D - Block 001,Yes,Yes,Class 8,Science,85,63,66,62,43,45,98,62,61,245,340,0.6939,Behind
2025-08,2025-08-09 11:38:00,School ABXY,SYN-1299-ABXY,District D,District D - Block 001,Yes,Yes,"Classes 6, 7 and 8",Math,42,28,31,40,20,32,48,27,31,130,169,0.65,Behind
2025-08,2025-08-09 11:55:00,School ABXZ,SYN-1300-ABXZ,District D,District D - Block 001,Yes,Yes,"Classes 6, 7 and 8",Math and Science,90,73,74,84,63,63,85,73,66,259,412,0.7954,On Track
2025-08,2025-08-09 12:12:00,School ABYA,SYN-1301-ABYA,District D,District D - Block 001,Yes,No,"Classes 6, 7 and 8",Math and Science,59,52,53,38,34,30,39,35,34,136,238,0.875,On Track
2025-08,2025-08-09 12:29:00,School ABYB,SYN-1302-ABYB,District D,District D - Block 001,Yes,No,"Classes 6, 7 and 8",Math and Science,39,24,24,71,45,43,42,26,25,152,187,0.6151,Behind
2025-08,2025-08-09 12:46:00,School ABYC,SYN-1303-ABYC,District D,District D - Block 001,Yes,Yes,"Classes 6, 7 and 8",Math and Science,56,36,43,60,39,50,71,53,50,187,271,0.7246,Behind
2025-08,2025-08-09 13:03:00,School ABWU,SYN-1269-ABWU,District D,District D - Block 002,Yes,No,"Classes 6, 7 and 8",Math and Science,45,30,32,36,25,23,31,23,25,112,158,0.7054,Behind
2025-08,2025-08-09 13:20:00,School ABYJ,SYN-1310-ABYJ,District D,District D - Block 002,No,No,Not conducted,Not applicable,108,0,0,94,0,0,85,0,0,287,0,0.0,Critical
2025-08,2025-08-09 13:37:00,School ABYK,SYN-1311-ABYK,District D,District D - Block 002,Yes,Yes,Class 6,Math and Science,40,33,27,35,25,28,35,26,31,110,170,0.7727,On Track
2025-08,2025-08-09 13:54:00,School ABYL,SYN-1312-ABYL,District D,District D - Block 002,Yes,No,"Classes 6, 7 and 8",Math and Science,55,38,41,63,47,44,44,34,31,162,235,0.7253,Behind
2025-08,2025-08-09 14:11:00,School ABYM,SYN-1313-ABYM,District D,District D - Block 002,Yes,No,"Classes 6, 7 and 8",Math and Science,35,23,21,47,25,29,48,24,26,130,148,0.5692,At Risk
2025-08,2025-08-09 14:28:00,School ABYN,SYN-1314-ABYN,District D,District D - Block 002,Yes,Yes,"Classes 6, 7 and 8",Science,30,21,18,28,19,18,25,15,15,83,106,0.6386,Behind
2025-08,2025-08-09 14:45:00,School ABYO,SYN-1315-ABYO,District D,District D - Block 002,Yes,No,"Classes 6, 7 and 8",Math and Science,46,32,31,64,36,33,55,37,35,165,204,0.6182,Behind
2025-08,2025-08-09 15:02:00,School ABYP,SYN-1316-ABYP,District D,District D - Block 002,Yes,No,Class 6,Science,64,25,30,79,36,50,52,37,21,195,199,0.5103,At Risk
2025-08,2025-08-09 15:19:00,School ABYQ,SYN-1317-ABYQ,District D,District D - Block 002,Yes,Yes,"Classes 6, 7 and 8",Math and Science,105,72,53,93,64,46,70,45,38,268,318,0.5933,At Risk
2025-08,2025-08-09 15:36:00,School ABXM,SYN-1287-ABXM,District D,District D - Block 003,No,No,Not conducted,Not applicable,29,0,0,35,0,0,35,0,0,99,0,0.0,Critical
2025-08,2025-08-09 15:53:00,School ABXN,SYN-1288-ABXN,District D,District D - Block 003,No,No,Not conducted,Not applicable,12,0,0,21,0,0,16,0,0,49,0,0.0,Critical
2025-08,2025-08-09 16:10:00,School ABXO,SYN-1289-ABXO,District D,District D - Block 003,Yes,Yes,Class 6,Math and Science,19,19,6,30,14,14,8,8,3,57,64,0.5614,At Risk
2025-08,2025-08-09 16:27:00,School ABXP,SYN-1290-ABXP,District D,District D - Block 003,Yes,No,Class 6,Math and Science,41,40,34,39,28,28,27,21,24,107,175,0.8178,On Track
2025-08,2025-08-09 16:44:00,School ABYR,SYN-1318-ABYR,District D,District D - Block 004,Yes,Yes,"Classes 6, 7 and 8",Math and Science,22,16,17,21,21,20,18,16,16,61,106,0.8689,On Track
2025-08,2025-08-09 17:01:00,School ABYS,SYN-1319-ABYS,District D,District D - Block 004,Yes,Yes,"Classes 6, 7 and 8",Math and Science,33,18,18,55,29,29,18,8,8,106,110,0.5189,At Risk
2025-08,2025-08-09 17:18:00,School ABWV,SYN-1270-ABWV,District D,District D - Block 005,Yes,Yes,"Classes 6, 7 and 8",Math and Science,42,22,20,35,19,20,35,21,20,112,122,0.5446,At Risk
2025-08,2025-08-09 17:35:00,School ABWW,SYN-1271-ABWW,District D,District D - Block 005,No,No,Not conducted,Not applicable,26,0,0,22,0,0,17,0,0,65,0,0.0,Critical
2025-08,2025-08-09 17:52:00,School ABWX,SYN-1272-ABWX,District D,District D - Block 006,No,No,Not conducted,Not applicable,17,0,0,18,0,0,22,0,0,57,0,0.0,Critical
2025-08,2025-08-09 18:09:00,School ABWZ,SYN-1274-ABWZ,District D,District D - Block 006,No,No,Not conducted,Not applicable,58,0,0,57,0,0,44,0,0,159,0,0.0,Critical
2025-08,2025-08-09 18:26:00,School ABXA,SYN-1275-ABXA,District D,District D - Block 006,Yes,No,"Classes 6, 7 and 8",Math and Science,38,29,34,63,52,55,43,40,37,144,247,0.8576,On Track
2025-08,2025-08-09 18:43:00,School ABXB,SYN-1276-ABXB,District D,District D - Block 006,Yes,Yes,Class 7,Math and Science,37,25,29,43,27,30,38,27,27,118,165,0.6992,Behind
2025-08,2025-08-09 19:00:00,School ABXC,SYN-1277-ABXC,District D,District D - Block 006,Yes,Yes,Class 6,Science,15,10,9,18,12,11,6,5,3,39,50,0.641,Behind
2025-08,2025-08-09 19:17:00,School ABXD,SYN-1278-ABXD,District D,District D - Block 007,Yes,No,"Classes 6, 7 and 8",Math and Science,63,47,43,53,30,26,35,19,23,151,188,0.6225,Behind
2025-08,2025-08-09 19:34:00,School ABXE,SYN-1279-ABXE,District D,District D - Block 007,Yes,Yes,Classes 6 and 8,Math and Science,83,63,64,34,30,32,39,28,27,156,244,0.7821,On Track
2025-08,2025-08-09 19:51:00,School ABXF,SYN-1280-ABXF,District D,District D - Block 007,Yes,Yes,"Classes 6, 7 and 8",Math and Science,15,10,11,11,9,9,12,9,8,38,56,0.7368,Behind
2025-08,2025-08-09 20:08:00,School ABXG,SYN-1281-ABXG,District D,District D - Block 007,Yes,Yes,"Classes 6, 7 and 8",Math and Science,70,34,42,64,40,36,50,28,31,184,211,0.5734,At Risk
2025-08,2025-08-09 20:25:00,School ABXH,SYN-1282-ABXH,District D,District D - Block 007,Yes,No,"Classes 6, 7 and 8",Science,52,50,46,62,61,55,67,59,65,181,336,0.9282,On Track
2025-08,2025-08-09 20:42:00,School ABXI,SYN-1283-ABXI,District D,District D - Block 007,No,No,Not conducted,Not applicable,28,0,0,22,0,0,13,0,0,63,0,0.0,Critical
2025-08,2025-08-09 20:59:00,School ABXJ,SYN-1284-ABXJ,District D,District D - Block 007,Yes,Yes,"Classes 6, 7 and 8",Math and Science,30,24,23,29,23,24,27,23,23,86,140,0.814,On Track
2025-08,2025-08-09 21:16:00,School ABXK,SYN-1285-ABXK,District D,District D - Block 007,Yes,Yes,"Classes 6, 7 and 8",Math and Science,37,20,16,64,22,24,22,12,13,123,107,0.435,At Risk
2025-08,2025-08-09 21:33:00,School ABXL,SYN-1286-ABXL,District D,District D - Block 007,Yes,No,"Classes 6, 7 and 8",Math and Science,27,18,16,51,30,27,32,14,18,110,123,0.5591,At Risk
