Reporting Month,Timestamp,What is the name of your school?,What is your school's synthetic school code?,What is the name of your district?,Block Details,Was the PBL project conducted in your school this month?,Was evidence submitted for the completed PBL project?,In which class/classes did you conduct the PBL project?,Which subject do you teach?,"Total number of students enrolled in Class 6, including all sections","Average student attendance during the Class 6 PBL Science session. If you did not teach Science in Class 6, enter 0.","Average student attendance during the Class 6 PBL Math session. If you did not teach Math in Class 6, enter 0.","Total number of students enrolled in Class 7, including all sections","Average student attendance during the Class 7 PBL Science session. If you did not teach Science in Class 7, enter 0.","Average student attendance during the Class 7 PBL Math session. If you did not teach Math in Class 7, enter 0.","Total number of students enrolled in Class 8, including all sections","Average student attendance during the Class 8 PBL Science session. If you did not teach Science in Class 8, enter 0.","Average student attendance during the Class 8 PBL Math session. If you did not teach Math in Class 8, enter 0.",Derived: Total enrollment across Classes 6-8,Derived: Total attendance across PBL Science and Math sessions,Derived: Overall PBL attendance rate,Derived: Risk status
2025-07,2025-07-08 16:05:00,School ADKC,SYN-2291-ADKC,District B,District B - Block 004,No,No,Not conducted,Not applicable,24,0,0,35,0,0,30,0,0,89,0,0.0,Critical
2025-07,2025-07-08 16:22:00,School ADKD,SYN-2292-ADKD,District B,District B - Block 005,No,No,Not conducted,Not applicable,19,0,0,22,0,0,15,0,0,56,0,0.0,Critical
2025-07,2025-07-08 16:39:00,School ADKE,SYN-2293-ADKE,District B,District B - Block 005,No,No,Not conducted,Not applicable,56,0,0,41,0,0,32,0,0,129,0,0.0,Critical
2025-07,2025-07-08 16:56:00,School ADKF,SYN-2294-ADKF,District B,District B - Block 005,Yes,No,"Classes 6, 7 and 8",Math and Science,105,65,66,51,39,38,71,48,41,227,297,0.6542,Behind
2025-07,2025-07-08 17:13:00,School ADKG,SYN-2295-ADKG,District B,District B - Block 005,No,No,Not conducted,Not applicable,41,0,0,48,0,0,62,0,0,151,0,0.0,Critical
2025-07,2025-07-08 17:30:00,School ACYH,SYN-1984-ACYH,District C,District C - Block 001,Yes,No,"Classes 6, 7 and 8",Math and Science,20,13,13,15,8,9,23,12,13,58,68,0.5862,At Risk
2025-07,2025-07-08 17:47:00,School ACYI,SYN-1985-ACYI,District C,District C - Block 001,Yes,Yes,Class 8,Math,51,50,50,34,18,22,40,27,30,125,197,0.788,On Track
2025-07,2025-07-08 18:04:00,School ACYJ,SYN-1986-ACYJ,District C,District C - Block 001,Yes,Yes,"Classes 6, 7 and 8",Math and Science,9,7,8,18,17,17,5,4,4,32,57,0.8906,On Track
2025-07,2025-07-08 18:21:00,School ACZC,SYN-2005-ACZC,District C,District C - Block 001,No,No,Not conducted,Not applicable,16,0,0,29,0,0,12,0,0,57,0,0.0,Critical
2025-07,2025-07-08 18:38:00,School ACZW,SYN-2025-ACZW,District C,District C - Block 002,Yes,Yes,Class 8,Math and Science,61,41,41,65,47,56,103,63,60,229,308,0.6725,Behind
2025-07,2025-07-08 18:55:00,School ACZX,SYN-2026-ACZX,District C,District C - Block 002,Yes,No,Class 6,Math and Science,32,18,18,23,12,13,43,28,24,98,113,0.5765,At Risk
2025-07,2025-07-08 19:12:00,School ACZY,SYN-2027-ACZY,District C,District C - Block 002,No,No,Not conducted,Not applicable,54,0,0,52,0,0,59,0,0,165,0,0.0,Critical
2025-07,2025-07-08 19:29:00,School ACZZ,SYN-2028-ACZZ,District C,District C - Block 002,Yes,No,Class 6,Science,13,11,11,13,11,11,19,13,13,45,70,0.7778,On Track
2025-07,2025-07-08 19:46:00,School ADAA,SYN-2029-ADAA,District C,District C - Block 002,No,No,Not conducted,Not applicable,28,0,0,16,0,0,28,0,0,72,0,0.0,Critical
2025-07,2025-07-08 20:03:00,School ADAB,SYN-2030-ADAB,District C,District C - Block 002,Yes,Yes,Class 8,Math,38,17,24,67,41,42,58,43,37,163,204,0.6258,Behind
2025-07,2025-07-08 20:20:00,School ADAC,SYN-2031-ADAC,District C,District C - Block 002,Yes,Yes,Class 6,Math and Science,7,6,7,7,6,7,6,5,5,20,36,0.9,On Track
2025-07,2025-07-08 20:37:00,School ADAD,SYN-2032-ADAD,District C,District C - Block 002,No,No,Not conducted,Not applicable,29,0,0,20,0,0,32,0,0,81,0,0.0,Critical
2025-07,2025-07-08 20:54:00,School ADAE,SYN-2033-ADAE,District C,District C - Block 002,Yes,Yes,"Classes 6, 7 and 8",Math and Science,33,24,27,50,39,41,24,19,18,107,168,0.785,On Track
2025-07,2025-07-08 21:11:00,School ACZN,SYN-2016-ACZN,District C,District C - Block 003,Yes,Yes,Class 7,Science,60,44,41,36,22,24,35,21,20,131,172,0.6565,Behind
2025-07,2025-07-08 21:28:00,School ACZO,SYN-2017-ACZO,District C,District C - Block 003,Yes,No,"Classes 6, 7 and 8",Math and Science,36,30,27,27,20,20,40,27,27,103,151,0.733,Behind
2025-07,2025-07-08 21:45:00,School ACZP,SYN-2018-ACZP,District C,District C - Block 003,Yes,Yes,"Classes 6, 7 and 8",Math and Science,19,12,13,19,9,12,13,8,10,51,64,0.6275,Behind
2025-07,2025-07-08 22:02:00,School ACZQ,SYN-2019-ACZQ,District C,District C - Block 003,Yes,Yes,Class 7,Science,59,34,28,52,34,28,71,40,41,182,205,0.5632,At Risk
2025-07,2025-07-08 22:19:00,School ACXX,SYN-1974-ACXX,District C,District C - Block 004,Yes,Yes,Class 7,Math and Science,46,24,31,58,38,33,48,30,23,152,179,0.5888,At Risk
2025-07,2025-07-08 22:36:00,School ACXY,SYN-1975-ACXY,District C,District C - Block 004,No,No,Not conducted,Not applicable,24,0,0,20,0,0,26,0,0,70,0,0.0,Critical
2025-07,2025-07-08 22:53:00,School ACXZ,SYN-1976-ACXZ,District C,District C - Block 004,No,No,Not conducted,Not applicable,19,0,0,42,0,0,23,0,0,84,0,0.0,Critical
2025-07,2025-07-08 23:10:00,School ACYA,SYN-1977-ACYA,District C,District C - Block 004,Yes,No,"Classes 6, 7 and 8",Math and Science,29,17,24,16,12,11,34,23,26,79,113,0.7152,Behind
2025-07,2025-07-08 23:27:00,School ACYB,SYN-1978-ACYB,District C,District C - Block 004,No,No,Not conducted,Not applicable,11,0,0,6,0,0,6,0,0,23,0,0.0,Critical
2025-07,2025-07-08 23:44:00,School ACYC,SYN-1979-ACYC,District C,District C - Block 004,Yes,Yes,"Classes 6, 7 and 8",Math and Science,6,4,5,25,19,16,12,7,7,43,58,0.6744,Behind
2025-07,2025-07-09 00:01:00,School ACYD,SYN-1980-ACYD,District C,District C - Block 004,No,No,Not conducted,Not applicable,18,0,0,13,0,0,22,0,0,53,0,0.0,Critical
2025-07,2025-07-09 00:18:00,School ACYE,SYN-1981-ACYE,District C,District C - Block 005,No,No,Not conducted,Not applicable,71,0,0,73,0,0,28,0,0,172,0,0.0,Critical
2025-07,2025-07-09 00:35:00,School ACYF,SYN-1982-ACYF,District C,District C - Block 005,Yes,Yes,"Classes 6, 7 and 8",Math and Science,46,29,22,44,19,16,50,18,16,140,120,0.4286,At Risk
2025-07,2025-07-09 00:52:00,School ACYG,SYN-1983-ACYG,District C,District C - Block 005,Yes,No,"Classes 6, 7 and 8",Math and Science,83,51,52,96,62,58,83,49,49,262,321,0.6126,Behind
2025-07,2025-07-09 01:09:00,School ACZG,SYN-2009-ACZG,District C,District C - Block 006,Yes,No,"Classes 6, 7 and 8",Math and Science,24,13,10,31,10,14,29,15,14,84,76,0.4524,At Risk
2025-07,2025-07-09 01:26:00,School ACZR,SYN-2020-ACZR,District C,District C - Block 006,No,No,Not conducted,Not applicable,23,0,0,18,0,0,23,0,0,64,0,0.0,Critical
2025-07,2025-07-09 01:43:00,School ACZH,SYN-2010-ACZH,District C,District C - Block 007,Yes,Yes,"Classes 6, 7 and 8",Math and Science,27,18,17,23,19,16,15,9,10,65,89,0.6846,Behind
2025-07,2025-07-09 02:00:00,School ACZI,SYN-2011-ACZI,District C,District C - Block 007,Yes,No,"Classes 6, 7 and 8",Math and Science,45,24,21,42,24,25,36,22,23,123,139,0.565,At Risk
2025-07,2025-07-09 02:17:00,School ACZJ,SYN-2012-ACZJ,District C,District C - Block 007,Yes,Yes,"Classes 6, 7 and 8",Math and Science,23,15,20,25,18,19,27,17,19,75,108,0.72,Behind
2025-07,2025-07-09 02:34:00,School ACZK,SYN-2013-ACZK,District C,District C - Block 007,Yes,No,Classes 7 and 8,Math and Science,13,11,11,15,12,15,25,18,23,53,90,0.8491,On Track
2025-07,2025-07-09 02:51:00,School ACZL,SYN-2014-ACZL,District C,District C - Block 007,Yes,Yes,"Classes 6, 7 and 8",Math and Science,91,60,60,90,63,63,106,65,73,287,384,0.669,Behind
2025-07,2025-07-09 03:08:00,School ACZM,SYN-2015-ACZM,District C,District C - Block 007,Yes,No,Class 6,Math and Science,36,23,11,21,12,20,28,20,22,85,108,0.6353,Behind
2025-07,2025-07-09 03:25:00,School ACZS,SYN-2021-ACZS,District C,District C - Block 008,Yes,Yes,"Classes 6, 7 and 8",Math and Science,21,15,14,17,13,12,12,12,10,50,76,0.76,On Track
2025-07,2025-07-09 03:42:00,School ACZT,SYN-2022-ACZT,District C,District C - Block 008,Yes,No,Class 6,Math and Science,15,12,13,18,12,13,16,13,11,49,74,0.7551,On Track
2025-07,2025-07-09 03:59:00,School ACZU,SYN-2023-ACZU,District C,District C - Block 008,No,No,Not conducted,Not applicable,59,0,0,51,0,0,32,0,0,142,0,0.0,Critical
2025-07,2025-07-09 04:16:00,School ACZV,SYN-2024-ACZV,District C,District C - Block 008,Yes,Yes,Class 8,Math,97,44,63,78,38,35,84,40,59,259,279,0.5386,At Risk
2025-07,2025-07-09 04:33:00,School ACYS,SYN-1995-ACYS,District C,District C - Block 009,Yes,Yes,"Classes 6, 7 and 8",Math and Science,11,7,9,15,10,12,10,8,8,36,54,0.75,On Track
2025-07,2025-07-09 04:50:00,School ACYT,SYN-1996-ACYT,District C,District C - Block 009,Yes,No,Class 6,Math,47,29,29,55,34,36,46,36,34,148,198,0.6689,Behind
2025-07,2025-07-09 05:07:00,School ACYU,SYN-1997-ACYU,District C,District C - Block 009,Yes,No,Class 6,Math and Science,15,8,10,19,8,12,20,13,16,54,67,0.6204,Behind
2025-07,2025-07-09 05:24:00,School ACYV,SYN-1998-ACYV,District C,District C - Block 009,No,No,Not conducted,Not applicable,31,0,0,36,0,0,44,0,0,111,0,0.0,Critical
2025-07,2025-07-09 05:41:00,School ACYW,SYN-1999-ACYW,District C,District C - Block 009,No,No,Not conducted,Not applicable,5,0,0,6,0,0,7,0,0,18,0,0.0,Critical
2025-07,2025-07-09 05:58:00,School ACYX,SYN-2000-ACYX,District C,District C - Block 009,Yes,Yes,Class 6,Math and Science,82,54,56,76,48,49,67,50,60,225,317,0.7044,Behind
2025-07,2025-07-09 06:15:00,School ACYY,SYN-2001-ACYY,District C,District C - Block 009,Yes,Yes,"Classes 6, 7 and 8",Math and Science,19,15,14,11,7,8,13,8,10,43,62,0.7209,Behind
2025-07,2025-07-09 06:32:00,School ACYZ,SYN-2002-ACYZ,District C,District C - Block 009,No,No,Not conducted,Not applicable,33,0,0,42,0,0,36,0,0,111,0,0.0,Critical
2025-07,2025-07-09 06:49:00,School ACZA,SYN-2003-ACZA,District C,District C - Block 009,No,No,Not conducted,Not applicable,34,0,0,13,0,0,18,0,0,65,0,0.0,Critical
2025-07,2025-07-09 07:06:00,School ACZB,SYN-2004-ACZB,District C,District C - Block 009,No,No,Not conducted,Not applicable,36,0,0,31,0,0,38,0,0,105,0,0.0,Critical
2025-07,2025-07-09 07:23:00,School ACZD,SYN-2006-ACZD,District C,District C - Block 009,No,No,Not conducted,Not applicable,18,0,0,25,0,0,22,0,0,65,0,0.0,Critical
2025-07,2025-07-09 07:40:00,School ACZE,SYN-2007-ACZE,District C,District C - Block 009,Yes,Yes,"Classes 6, 7 and 8",Math and Science,83,58,59,97,58,60,116,69,77,296,381,0.6436,Behind
2025-07,2025-07-09 07:57:00,School ACZF,SYN-2008-ACZF,District C,District C - Block 009,Yes,Yes,"Classes 6, 7 and 8",Math and Science,5,5,4,6,4,4,8,7,7,19,31,0.8158,On Track
2025-07,2025-07-09 08:14:00,School ACYO,SYN-1991-ACYO,District C,District C - Block 010,Yes,Yes,"Classes 6, 7 and 8",Math and Science,80,48,47,96,52,50,54,29,30,230,256,0.5565,At Risk
2025-07,2025-07-09 08:31:00,School ACYP,SYN-1992-ACYP,District C,District C - Block 010,No,No,Not conducted,Not applicable,23,0,0,70,0,0,45,0,0,138,0,0.0,Critical
2025-07,2025-07-09 08:48:00,School ACYQ,SYN-1993-ACYQ,District C,District C - Block 010,Yes,Yes,Class 6,Math and Science,36,22,20,60,37,26,38,28,23,134,156,0.5821,At Risk
2025-07,2025-07-09 09:05:00,School ACYR,SYN-1994-ACYR,District C,District C - Block 010,Yes,No,"Classes 6, 7 and 8",Math and Science,20,13,12,19,12,14,20,14,14,59,79,0.6695,Behind
2025-07,2025-07-09 09:22:00,School ACYK,SYN-1987-ACYK,District C,District C - Block 011,Yes,Yes,"Classes 6, 7 and 8",Math and Science,31,23,21,23,18,16,19,13,16,73,107,0.7329,Behind
2025-07,2025-07-09 09:39:00,School ACYL,SYN-1988-ACYL,District C,District C - Block 011,Yes,No,"Classes 6, 7 and 8",Math and Science,29,21,21,30,24,22,44,31,36,103,155,0.7524,On Track
2025-07,2025-07-09 09:56:00,School ACYM,SYN-1989-ACYM,District C,District C - Block 011,Yes,Yes,Class 8,Math and Science,23,16,15,35,24,24,35,27,24,93,130,0.6989,Behind
2025-07,2025-07-09 10:13:00,School ACYN,SYN-1990-ACYN,District C,District C - Block 011,Yes,No,"Classes 6, 7 and 8",Math and Science,7,5,5,11,6,7,6,5,5,24,33,0.6875,Behind
2025-07,2025-07-09 10:30:00,School ABXU,SYN-1295-ABXU,District D,District D - Block 001,Yes,No,Class 6,Math and Science,76,48,43,68,43,40,61,40,41,205,255,0.622,Behind
2025-07,2025-07-09 10:47:00,School ABXV,SYN-1296-ABXV,District D,District D - Block 001,Yes,Yes,"Classes 6, 7 and 8",Math and Science,128,76,64,138,60,56,112,57,50,378,363,0.4802,At Risk
2025-07,2025-07-09 11:04:00,School ABXW,SYN-1297-ABXW,District D,District D - Block 001,Yes,No,Class 7,Math,74,36,43,49,30,31,58,38,32,181,210,0.5801,At Risk
2025-07,2025-07-09 11:21:00,School ABXX,SYN-1298-ABXX,District D,District D - Block 001,No,No,Not conducted,Not applicable,85,0,0,62,0,0,98,0,0,245,0,0.0,Critical
2025-07,2025-07-09 11:38:00,School ABXY,SYN-1299-ABXY,District D,District D - Block 001,Yes,No,"Classes 6, 7 and 8",Math,42,26,27,40,19,26,48,28,27,130,153,0.5885,At Risk
2025-07,2025-07-09 11:55:00,School ABXZ,SYN-1300-ABXZ,District D,District D - Block 001,No,No,Not conducted,Not applicable,90,0,0,84,0,0,85,0,0,259,0,0.0,Critical
2025-07,2025-07-09 12:12:00,School ABYA,SYN-1301-ABYA,District D,District D - Block 001,No,No,Not conducted,Not applicable,59,0,0,38,0,0,39,0,0,136,0,0.0,Critical
2025-07,2025-07-09 12:29:00,School ABYB,SYN-1302-ABYB,District D,District D - Block 001,Yes,No,"Classes 6, 7 and 8",Math and Science,39,23,24,71,42,47,42,20,24,152,180,0.5921,At Risk
2025-07,2025-07-09 12:46:00,School ABYC,SYN-1303-ABYC,District D,District D - Block 001,Yes,Yes,"Classes 6, 7 and 8",Math and Science,56,34,44,60,36,42,71,49,46,187,251,0.6711,Behind
2025-07,2025-07-09 13:03:00,School ABWU,SYN-1269-ABWU,District D,District D - Block 002,Yes,Yes,"Classes 6, 7 and 8",Math and Science,45,25,25,36,23,23,31,25,24,112,145,0.6473,Behind
2025-07,2025-07-09 13:20:00,School ABYJ,SYN-1310-ABYJ,District D,District D - Block 002,Yes,No,Class 6,Science,108,72,76,94,73,72,85,64,57,287,414,0.7213,Behind
2025-07,2025-07-09 13:37:00,School ABYK,SYN-1311-ABYK,District D,District D - Block 002,No,No,Not conducted,Not applicable,40,0,0,35,0,0,35,0,0,110,0,0.0,Critical
2025-07,2025-07-09 13:54:00,School ABYL,SYN-1312-ABYL,District D,District D - Block 002,Yes,Yes,"Classes 6, 7 and 8",Math and Science,55,36,43,63,44,46,44,31,33,162,233,0.7191,Behind
2025-07,2025-07-09 14:11:00,School ABYM,SYN-1313-ABYM,District D,District D - Block 002,No,No,Not conducted,Not applicable,35,0,0,47,0,0,48,0,0,130,0,0.0,Critical
2025-07,2025-07-09 14:28:00,School ABYN,SYN-1314-ABYN,District D,District D - Block 002,No,No,Not conducted,Not applicable,30,0,0,28,0,0,25,0,0,83,0,0.0,Critical
2025-07,2025-07-09 14:45:00,School ABYO,SYN-1315-ABYO,District D,District D - Block 002,No,No,Not conducted,Not applicable,46,0,0,64,0,0,55,0,0,165,0,0.0,Critical
2025-07,2025-07-09 15:02:00,School ABYP,SYN-1316-ABYP,District D,District D - Block 002,Yes,Yes,Class 6,Science,64,38,33,79,39,43,52,31,30,195,214,0.5487,At Risk
2025-07,2025-07-09 15:19:00,School ABYQ,SYN-1317-ABYQ,District D,District D - Block 002,Yes,Yes,"Classes 6, 7 and 8",Math and Science,105,69,52,93,55,47,70,39,41,268,303,0.5653,At Risk
2025-07,2025-07-09 15:36:00,School ABXM,SYN-1287-ABXM,District D,District D - Block 003,Yes,Yes,Class 6,Math and Science,29,12,13,35,27,18,35,21,23,99,114,0.5758,At Risk
2025-07,2025-07-09 15:53:00,School ABXN,SYN-1288-ABXN,District D,District D - Block 003,Yes,No,Classes 7 and 8,Math and Science,12,8,8,21,12,12,16,11,12,49,63,0.6429,Behind
2025-07,2025-07-09 16:10:00,School ABXO,SYN-1289-ABXO,District D,District D - Block 003,Yes,No,Class 6,Math and Science,19,19,6,30,13,14,8,7,3,57,62,0.5439,At Risk
2025-07,2025-07-09 16:27:00,School ABXP,SYN-1290-ABXP,District D,District D - Block 003,Yes,Yes,Class 6,Math and Science,41,35,30,39,24,24,27,20,23,107,156,0.729,Behind
2025-07,2025-07-09 16:44:00,School ABYR,SYN-1318-ABYR,District D,District D - Block 004,Yes,Yes,"Classes 6, 7 and 8",Math and Science,22,15,17,21,17,19,18,16,16,61,100,0.8197,On Track
2025-07,2025-07-09 17:01:00,School ABYS,SYN-1319-ABYS,District D,District D - Block 004,Yes,Yes,"Classes 6, 7 and 8",Math and Science,33,17,17,55,30,31,18,9,8,106,112,0.5283,At Risk
2025-07,2025-07-09 17:18:00,School ABWV,SYN-1270-ABWV,District D,District D - Block 005,Yes,No,"Classes 6, 7 and 8",Math and Science,42,19,19,35,19,18,35,17,17,112,109,0.4866,At Risk
2025-07,2025-07-09 17:35:00,School ABWW,SYN-1271-ABWW,District D,District D - Block 005,Yes,Yes,Class 6,Math,26,14,15,22,12,11,17,9,10,65,71,0.5462,At Risk
2025-07,2025-07-09 17:52:00,School ABWX,SYN-1272-ABWX,District D,District D - Block 006,No,No,Not conducted,Not applicable,17,0,0,18,0,0,22,0,0,57,0,0.0,Critical
2025-07,2025-07-09 18:09:00,School ABWZ,SYN-1274-ABWZ,District D,District D - Block 006,No,No,Not conducted,Not applicable,58,0,0,57,0,0,44,0,0,159,0,0.0,Critical
2025-07,2025-07-09 18:26:00,School ABXA,SYN-1275-ABXA,District D,District D - Block 006,No,No,Not conducted,Not applicable,38,0,0,63,0,0,43,0,0,144,0,0.0,Critical
2025-07,2025-07-09 18:43:00,School ABXB,SYN-1276-ABXB,District D,District D - Block 006,Yes,Yes,Class 7,Math and Science,37,28,27,43,28,27,38,27,26,118,163,0.6907,Behind
2025-07,2025-07-09 19:00:00,School ABXC,SYN-1277-ABXC,District D,District D - Block 006,Yes,Yes,Class 6,Science,15,12,7,18,11,10,6,5,4,39,49,0.6282,Behind
2025-07,2025-07-09 19:17:00,School ABXD,SYN-1278-ABXD,District D,District D - Block 007,No,No,Not conducted,Not applicable,63,0,0,53,0,0,35,0,0,151,0,0.0,Critical
2025-07,2025-07-09 19:34:00,School ABXE,SYN-1279-ABXE,District D,District D - Block 007,Yes,Yes,Classes 6 and 8,Math and Science,83,58,55,34,25,25,39,26,27,156,216,0.6923,Behind
2025-07,2025-07-09 19:51:00,School ABXF,SYN-1280-ABXF,District D,District D - Block 007,Yes,Yes,"Classes 6, 7 and 8",Math and Science,15,10,10,11,8,8,12,7,8,38,51,0.6711,Behind
2025-07,2025-07-09 20:08:00,School ABXG,SYN-1281-ABXG,District D,District D - Block 007,Yes,No,"Classes 6, 7 and 8",Math and Science,70,33,34,64,37,35,50,26,26,184,191,0.519,At Risk
2025-07,2025-07-09 20:25:00,School ABXH,SYN-1282-ABXH,District D,District D - Block 007,No,No,Not conducted,Not applicable,52,0,0,62,0,0,67,0,0,181,0,0.0,Critical
2025-07,2025-07-09 20:42:00,School ABXI,SYN-1283-ABXI,District D,District D - Block 007,Yes,No,Class 7,Science,28,20,21,22,14,15,13,12,10,63,92,0.7302,Behind
2025-07,2025-07-09 20:59:00,School ABXJ,SYN-1284-ABXJ,District D,District D - Block 007,Yes,Yes,"Classes 6, 7 and 8",Math and Science,30,20,18,29,23,20,27,19,18,86,118,0.686,Behind
2025-07,2025-07-09 21:16:00,School ABXK,SYN-1285-ABXK,District D,District D - Block 007,No,No,Not conducted,Not applicable,37,0,0,64,0,0,22,0,0,123,0,0.0,Critical
2025-07,2025-07-09 21:33:00,School ABXL,SYN-1286-ABXL,District D,District D - Block 007,Yes,Yes,"Classes 6, 7 and 8",Math and Science,27,17,16,51,28,29,32,14,15,110,119,0.5409,At Risk
2025-07,2025-07-09 21:50:00,School ABXQ,SYN-1291-ABXQ,District D,District D - Block 008,Yes,Yes,"Classes 6, 7 and 8",Math and Science,11,8,9,22,14,14,13,5,5,46,55,0.5978,At Risk
2025-07,2025-07-09 22:07:00,School ABXR,SYN-1292-ABXR,District D,District D - Block 008,No,No,Not conducted,Not applicable,29,0,0,38,0,0,23,0,0,90,0,0.0,Critical
2025-07,2025-07-09 22:24:00,School ABXS,SYN-1293-ABXS,District D,District D - Block 008,No,No,Not conducted,Not applicable,44,0,0,44,0,0,33,0,0,121,0,0.0,Critical
